caseD_2	00404f88	Instruction Label	switchD_00404e37	Analysis	0	0
caseD_2	00404f88	Instruction Label	switchD_00404eea	Analysis	0	0
caseD_2	00404f88	Instruction Label	switchD_00404e8e	Analysis	0	0
caseD_2	00404f88	Instruction Label	switchD_00404eb8	Analysis	0	0
caseD_3	00404f9c	Instruction Label	switchD_00404eb8	Analysis	0	0
caseD_3	00404f9c	Instruction Label	switchD_00404eea	Analysis	0	0
caseD_3	00404f9c	Instruction Label	switchD_00404e64	Analysis	6	0
caseD_3	00404f9c	Instruction Label	switchD_00404e37	Analysis	0	0
caseD_3	00404f9c	Instruction Label	switchD_00404e8e	Analysis	0	0
_memset	00404fc0	Function	Global	Analysis	3	0
FUN_00405018	00405018	Function	Global	Default	3	0
FUN_0040523c	0040523c	Function	Global	Default	1	0
FUN_00405267	00405267	Function	Global	Default	2	0
FUN_004053b0	004053b0	Function	Global	Default	1	0
FUN_0040547c	0040547c	Function	Global	Default	4	0
RtlUnwind	004054f2	Thunk Function	KERNEL32.DLL	Default	1	0
g_surfCar	00409550	Data Label	Global	User Defined	8	0
g_hInst	0040957c	Data Label	Global	User Defined	4	0
g_hMainWnd	00409580	Data Label	Global	User Defined	3	0
lpDD	00409584	Data Label	Global	User Defined	6	0
surface	00409588	Data Label	Global	User Defined	5	0
g_env	0040959c	Data Label	Global	User Defined	5	0
g_winVer2	004095b4	Data Label	Global	User Defined	1	0
g_winVer	004095b8	Data Label	Global	User Defined	1	0
g_winVerMajor	004095bc	Data Label	Global	User Defined	1	0
g_winVerMinor	004095c0	Data Label	Global	User Defined	1	0
env_char_size	004096fc	Data Label	Global	User Defined	3	0
g_heap	00409984	Data Label	Global	User Defined	18	0
handle_count	00409aa0	Data Label	Global	User Defined	6	0
code_page_inited	00409aa8	Data Label	Global	User Defined	5	0
g_cmdLine	00409ab8	Data Label	Global	User Defined	3	0
Rsrc_Bitmap_65_409	0040a060	Data Label	Global	Imported	0	0
